"year","month","recycle","landfill","compost"
2006,1,0,348620,0
2006,2,0,344470,0
2006,3,0,337570,0
2006,4,0,371920,0
2006,5,0,412970,0
2006,6,0,302760,0
2006,7,0,273760,0
2006,8,0,335200,0
2006,9,0,405740,0
2006,10,0,419800,0
2006,11,0,386240,0
2006,12,0,343610,0
2006,1,0,310510,0
2007,2,0,335500,0
2007,3,0,356620,0
2007,4,0,439160,0
2007,5,0,477150,0
2007,6,0,381320,0
2007,7,0,261440,0
2007,8,0,379650,0
2007,9,0,444580,0
2007,10,0,477850,0
2007,11,0,386310,0
2007,12,0,317610,0
2008,1,0,337100,0
2008,2,0,353240,0
2008,3,0,335620,0
2008,4,0,397480,0
2008,5,0,451600,0
2008,6,0,280440,0
2008,7,0,349660,0
2008,8,0,262610,0
2008,9,0,388180,0
2008,10,0,378280,0
2008,11,0,350920,0
2008,12,0,314300,0
2009,1,0,288480,0
2009,2,6340,297780,0
2009,3,0,320316,0
2009,4,7440,338580,0
2009,5,6320,376060,0
2009,6,6476,268220,0
2009,7,12162,245580,0
2009,8,7482,294280,0
2009,9,23740,345700,0
2009,10,23730,364780,0
2009,11,23941,329200,0
2009,12,14287,283680,0
2010,1,23057,269660,0
2010,2,28071,284200,0
2010,3,22760,318300,0
2010,4,25180,355640,0
2010,5,16223,370020,0
2010,6,14796,270580,0
2010,7,17932,302120,0
2010,8,29146,316320,0
2010,9,32001,401840,0
2010,10,29524,354760,0
2010,11,26125,360060,0
2010,12,23310,328300,0
2011,1,28141,308840,0
2011,2,34130,295440,0
2011,3,29230,310160,0
2011,4,32641,344520,0
2011,5,18808,415120,0
2011,6,24023,260660,0
2011,7,21393,205640,0
2011,8,29559,306080,0
2011,9,39060,386920,0
2011,10,34482,382760,0
2011,11,22266,328140,0
2011,12,14200,304920,0
2012,1,26298,297520,0
2012,2,39660,303840,0
2012,3,58470,302020,0
2012,4,67265,375240,0
2012,5,32512,365120,0
2012,6,32129,263930,0
2012,7,43930,256540,0
2012,8,49541,341300,0
2012,9,33963,355700,0
2012,10,60066,395700,0
2012,11,26378,309650,0
2012,12,24314,297480,0
2013,1,25342,310500,0
2013,2,50351,280320,0
2013,3,50071,262640,0
2013,4,34282,328800,0
2013,5,36581,406291,0
2013,6,32890,222960,0
2013,7,43061,214700,0
2013,8,55369,355100,0
2013,9,42428,357240,0
2013,10,51428,341340,0
2013,11,58868,401400,0
2013,12,22462,260200,0
2014,1,45039,325600,0
2014,2,52333,282760,0
2014,3,43500,276120,0
2014,4,50176,315360,0
2014,5,25880,416660,0
2014,6,32364,226220,0
2014,7,32732,225240,0
2014,8,62191,312220,0
2014,9,76859,382140,0
2014,10,91642,389540,0
2014,11,45512,309700,0
2014,12,36812,294580,0
2015,1,45156,265830,3623
2015,2,67876.5,317700,9011
2015,3,46062,323820,7452
2015,4,54460,363060,5353.5
2015,5,68255.5,348780,3326
2015,6,36947.5,252120,6295
2015,7,31665,210420,5729
2015,8,61110,293340,1201
2015,9,70663,368700,2837
2015,10,70705,363380,5448
2015,11,90075,333600,3313.5
2015,12,62481,284140,785
2016,1,65031,258490,0
2016,2,67891,306820,0
2016,3,936,300120,0
